gameid,Gameplay,Social,Market,Narrative,Graphics,Technical,Audio,Content
6920,0.02882963,0.303325,-0.21075,0.027737931,0.4764,0.091944444,-0.04549,
6980,0.118890909,,-0.0615,0.171230769,0.1815,-0.106466667,0.13785,
7000,-0.108204,-0.1027,0.422133333,0.01838,-0.3152,0.1134,0.431533333,
7110,0.181616667,,0.11926,0.2592375,0.7239,0.1015,,
7200,0.0264,0.369775,0.22855,0.311428571,0,-0.38355,,
7510,-0.135042308,0.1326,0.29844,-0.064827273,0.105066667,-0.131128571,0.139663636,
7520,0.163288889,0.54056,0.202875,0.4918875,0.10886,0.145211111,0.114216667,0.37165
7600,0.311066667,0.8442,0.4417,,0.6246,-0.108757143,,
7760,-0.280676923,,-0.7102,-0.31155,0.296,0.1899,,
7830,-0.199191304,0.08685,-0.13695,,,-0.29295,-0.349075,
7860,-0.149253333,0.7506,0.1655,-0.250571429,-0.29458,-0.55168,-0.227581818,
7940,0.630566667,0.254928571,-0.2204375,,,,,-0.8689
8000,0.321733333,0,,0.309816667,0.117522222,0.12156,,
8080,0.044874286,0.268716667,0.6923,0.190075,0.3011,-0.016375,0.4578,
8140,0.117682353,0.4069,0.6824,0.178,0.114316667,-0.02952,0.4201,0.3071
8170,0.276690476,0.293466667,-0.32832,-0.04876,-0.8442,0.5594,-0.25,
8190,0.102494737,0.383416667,-0.00645,0.265935294,-0.15975,0.6623,0.563366667,-0.11315
8500,-0.100236364,0.136526667,-0.091919048,0.068756522,,0.14225,0.05,
8600,-0.09228,-0.1154,0.07044,,,0.37396,,0.63985
8800,0.4312375,0.0447375,0.309275,0.25845,-0.6808,0.114325,,
8870,-0.037542857,,0.08645,0.437825,0.2836,,,0.44435
8930,0.58845,-0.7648,0,0.44785,-0.5622,,,-0.3999
9010,-0.162325,0.148866667,0.01275,-0.095388889,0.6588,0.2085,-0.5984,
9050,-0.387942105,,,0.031066667,-0.18905,0.09342,,
9180,-0.03498,,0.109366667,-0.8225,-0.1516,0.122428571,0,
9200,-0.131073171,0.1927,0.3196125,-0.1349,-0.58164,0.35304,0.37684,0.42745
9350,0.024256098,0.052366667,0.07822,0.132266667,0.5733,0.183157143,0.38355,
9420,0.025468,0.06072,-0.659,0.7405,0.1683,0.3261,,
9450,-0.027394444,0.095744444,0.01705,-0.1638,,-0.110166667,-0.4101,
9480,0.1173,0.537933333,-0.368025,0.0772,,,0.5994,
9880,0.351,,0.44874,0.279533333,0.31845,-0.5371,,
9900,0.40984,0.0559,0.130883333,0.57162,0,-0.426533333,0.9032,
9940,-0.068065714,-0.90835,0.25322,0.050746667,0.029371429,0.32965,-0.218809091,0.41615
10090,0.654833333,-0.08418,-0.17675,,,0.6249,,
10130,-0.032945161,0.09586,0.3432,0.34899,-0.068875,-0.10776,-0.3327,
10180,0.9153,0.0092,-0.1405,,,0.3191,,
10150,0.050057143,0.1363,-0.1027,0.331666667,0,-0.118716667,,
10220,0.016594737,0.234366667,-0.110790909,0.4414,0.05285,-0.052446667,0.19301,0.695133333
10500,-0.102096552,-0.184,0.140128571,0.031575,,0,,
10680,-0.02624,-0.054463636,-0.303833333,-0.177966667,0.08065,0.0987,,
11280,0.02815,0.04469,,,,,-0.1263,
11450,-0.253616667,-0.1877,0.131325,-0.348742857,0.4019,0.12145,-0.14045,
12110,0.88615,,0.02725,0.9246,0,0.128,-0.128,
12100,-0.0722,0.05135,0.281633333,0.0168,,0.087864286,0.22325,
12120,0.6588,,0.3326,0.33525,,0,,
12130,-0.261733333,-0.5122,0.1299,0.3402,,0.456628571,,
12140,0.366028571,0,,0.2873,0.55825,0.00615,0.391033333,
12150,0.074028571,,0.082366667,0.479483333,0.285133333,0.3922,0.8481,
12200,0.331625,,0,0.7579,,-0.16677,,
12210,-0.296,-0.6151,-0.1531,0.01075,,,,
